DECO,2018-003-D2,180101-106051,1/14/2018,1/22/2018,o-Xylene,95-47-6,ND,,0.09,ppbC
DECO,2018-003-D2,180101-106051,1/14/2018,1/22/2018,p-Diethylbenzene,105-05-5,ND,,0.15,ppbC
DECO,2018-003-D2,180101-106051,1/14/2018,1/22/2018,p-Ethyltoluene,622-96-8,ND,,0.18,ppbC
DECO,2018-003-D2,180101-106051,1/14/2018,1/22/2018,Propane,74-98-6,11.1, ,0.12,ppbC
DECO,2018-003-D2,180101-106051,1/14/2018,1/22/2018,Propylene,115-07-1,0.49,J,0.1,ppbC
DECO,2018-003-D2,180101-106051,1/14/2018,1/22/2018,Styrene,100-42-5,ND,,0.07,ppbC
DECO,2018-003-D2,180101-106051,1/14/2018,1/22/2018,TNMHC  (ppbC),NA,102, ,39.01,ppbC
DECO,2018-003-D2,180101-106051,1/14/2018,1/22/2018,Toluene,108-88-3,1.99, ,0.18,ppbC
DECO,2018-003-D2,180101-106051,1/14/2018,1/22/2018,Total PAMS  (ppbC),NA,69.2, ,1.95,ppbC
DECO,2018-003-D2,180101-106051,1/14/2018,1/22/2018,trans-2-Butene,624-64-6,ND,,0.1,ppbC
DECO,2018-003-D2,180101-106051,1/14/2018,1/22/2018,trans-2-Pentene,646-04-8,ND,,0.11,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,"1,2,3-Trimethylbenzene",526-73-8,ND,,0.06,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,"1,2,4-Trimethylbenzene",95-63-6,0.25,J,0.17,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,"1,3,5-Trimethylbenzene",108-67-8,0.34,J,0.17,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,"1,3-Butadiene",106-99-0,ND,,0.07,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,1-Butene,106-98-6,0.32,J,0.11,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,1-Hexene,592-41-6,ND,,0.17,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,1-Pentene,109-67-1,ND,,0.13,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,"2,2,4-Trimethylpentane",540-84-1,1.22,J,0.17,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,"2,2-Dimethylbutane",75-83-2,0.44,J,0.15,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,"2,3,4-Trimethylpentane",565-75-3,0.4,J,0.1,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,"2,3-Dimethylbutane",79-29-8,0.74,J,0.19,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,"2,3-Dimethylpentane",565-59-3,0.78,J,0.13,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,"2,4-Dimethylpentane",108-08-7,0.46,J,0.09,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,2-Methylheptane,592-27-8,0.46,J,0.15,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,2-Methylhexane,591-76-4,0.82,J,0.15,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,2-Methylpentane,107-83-5,3.1, ,0.07,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,3-Methylheptane,589-81-1,0.47,J,0.14,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,3-Methylhexane,589-34-4,1.54,J,0.03,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,3-Methylpentane,96-14-0,1.94, ,0.16,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Acetylene,74-86-2,10.1, ,0.05,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,alpha-Pinene,80-56-8,ND,,0.05,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Benzene,71-43-2,2.62, ,0.11,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,beta-Pinene,127-91-3,ND,,0.05,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,cis-2-Butene,590-18-1,ND,,0.12,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,cis-2-Pentene,627-20-3,ND,,0.13,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Cyclohexane,110-82-7,0.95,J,0.11,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Cyclopentane,287-92-3,0.57,J,0.11,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Ethane,74-84-0,81.2, ,0.11,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Ethylbenzene,100-41-4,0.82,J,0.14,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Ethylene,74-85-1,10, ,0.1,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Isobutane,75-28-5,5.74, ,0.16,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Isopentane,78-78-4,9.88, ,0.19,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Isoprene,78-79-5,ND,,0.15,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Isopropylbenzene,98-82-8,ND,,0.18,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,m/p-Xylenes,108-38-3/106-42-3,1.99, ,0.15,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,m-Diethylbenzene,141-93-5,ND,,0.18,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Methylcyclohexane,108-87-2,0.95,J,0.14,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Methylcyclopentane,96-37-7,1.75,J,0.13,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,m-Ethyltoluene,620-14-4,0.74,J,0.12,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,n-Butane,106-97-8,19, ,0.12,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,n-Decane,124-18-5,0.3,J,0.11,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,n-Dodecane,112-40-3,ND,,0.07,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,n-Heptane,142-82-5,1.54,J,0.14,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,n-Hexane,110-54-3,2.66, ,0.12,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,n-Octane,111-65-9,0.7,J,0.16,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Nonane,111-84-2,0.51,J,0.1,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,n-Pentane,109-66-0,6.53, ,0.1,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,n-Propylbenzene,103-65-1,ND,,0.09,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,n-Undecane,1120-21-4,0.3,J,0.17,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,o-Ethyltoluene,611-14-3,ND,,0.19,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,o-Xylene,95-47-6,0.84,J,0.08,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,p-Diethylbenzene,105-05-5,ND,,0.14,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,p-Ethyltoluene,622-96-8,0.57,J,0.18,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Propane,74-98-6,14.9, ,0.12,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Propylene,115-07-1,1.42,J,0.09,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Styrene,100-42-5,ND,,0.07,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,TNMHC  (ppbC),NA,289, ,37.98,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Toluene,108-88-3,18, ,0.18,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,Total PAMS  (ppbC),NA,208, ,1.9,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,trans-2-Butene,624-64-6,ND,,0.1,ppbC
DECO,2018-004,180213-106574,1/20/2018,2/14/2018,trans-2-Pentene,646-04-8,ND,,0.11,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,"1,2,3-Trimethylbenzene",526-73-8,ND,,0.06,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,"1,2,4-Trimethylbenzene",95-63-6,ND,,0.17,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,"1,3,5-Trimethylbenzene",108-67-8,ND,,0.17,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,"1,3-Butadiene",106-99-0,ND,,0.07,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,1-Butene,106-98-6,ND,,0.11,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,1-Hexene,592-41-6,ND,,0.17,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,1-Pentene,109-67-1,ND,,0.13,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,"2,2,4-Trimethylpentane",540-84-1,0.46,J,0.17,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,"2,2-Dimethylbutane",75-83-2,ND,,0.15,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,"2,3,4-Trimethylpentane",565-75-3,ND,,0.1,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,"2,3-Dimethylbutane",79-29-8,0.33,J,0.19,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,"2,3-Dimethylpentane",565-59-3,0.27,J,0.13,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,"2,4-Dimethylpentane",108-08-7,0.19,J,0.1,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,2-Methylheptane,592-27-8,0.21,J,0.15,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,2-Methylhexane,591-76-4,ND,,0.15,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,2-Methylpentane,107-83-5,1.42,J,0.07,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,3-Methylheptane,589-81-1,0.21,J,0.14,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,3-Methylhexane,589-34-4,0.59,J,0.03,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,3-Methylpentane,96-14-0,1.11,J,0.16,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Acetylene,74-86-2,4.28, ,0.05,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,alpha-Pinene,80-56-8,ND,,0.05,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Benzene,71-43-2,1.4,J,0.11,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,beta-Pinene,127-91-3,ND,,0.05,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,cis-2-Butene,590-18-1,ND,,0.12,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,cis-2-Pentene,627-20-3,ND,,0.13,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Cyclohexane,110-82-7,0.34,J,0.11,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Cyclopentane,287-92-3,0.31,J,0.11,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Ethane,74-84-0,29.4, ,0.12,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Ethylbenzene,100-41-4,0.27,J,0.14,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Ethylene,74-85-1,4.05, ,0.1,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Isobutane,75-28-5,3.94, ,0.17,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Isopentane,78-78-4,4.59, ,0.19,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Isoprene,78-79-5,ND,,0.15,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Isopropylbenzene,98-82-8,ND,,0.18,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,m/p-Xylenes,108-38-3/106-42-3,0.48,J,0.15,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,m-Diethylbenzene,141-93-5,ND,,0.18,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Methylcyclohexane,108-87-2,0.55,J,0.14,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Methylcyclopentane,96-37-7,0.8,J,0.13,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,m-Ethyltoluene,620-14-4,ND,,0.12,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,n-Butane,106-97-8,11.7, ,0.12,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,n-Decane,124-18-5,ND,,0.11,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,n-Dodecane,112-40-3,ND,,0.07,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,n-Heptane,142-82-5,0.71,J,0.14,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,n-Hexane,110-54-3,1.2,J,0.12,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,n-Octane,111-65-9,0.34,J,0.17,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Nonane,111-84-2,0.23,J,0.1,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,n-Pentane,109-66-0,2.91, ,0.1,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,n-Propylbenzene,103-65-1,ND,,0.1,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,n-Undecane,1120-21-4,ND,,0.17,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,o-Ethyltoluene,611-14-3,ND,,0.19,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,o-Xylene,95-47-6,0.23,J,0.09,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,p-Diethylbenzene,105-05-5,ND,,0.14,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,p-Ethyltoluene,622-96-8,ND,,0.18,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Propane,74-98-6,12, ,0.12,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Propylene,115-07-1,0.69,J,0.1,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Styrene,100-42-5,ND,,0.07,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,TNMHC  (ppbC),NA,123, ,38.25,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Toluene,108-88-3,2.98, ,0.18,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,Total PAMS  (ppbC),NA,88.2, ,1.91,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,trans-2-Butene,624-64-6,ND,,0.1,ppbC
DECO,2018-005,180213-106575,1/26/2018,2/14/2018,trans-2-Pentene,646-04-8,ND,,0.11,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,"1,2,3-Trimethylbenzene",526-73-8,ND,,0.06,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,"1,2,4-Trimethylbenzene",95-63-6,ND,,0.17,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,"1,3,5-Trimethylbenzene",108-67-8,ND,,0.17,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,"1,3-Butadiene",106-99-0,ND,,0.08,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,1-Butene,106-98-6,ND,,0.11,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,1-Hexene,592-41-6,ND,,0.17,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,1-Pentene,109-67-1,ND,,0.13,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,"2,2,4-Trimethylpentane",540-84-1,0.31,J,0.17,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,"2,2-Dimethylbutane",75-83-2,ND,,0.15,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,"2,3,4-Trimethylpentane",565-75-3,ND,,0.1,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,"2,3-Dimethylbutane",79-29-8,0.21,J,0.19,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,"2,3-Dimethylpentane",565-59-3,ND,,0.13,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,"2,4-Dimethylpentane",108-08-7,ND,,0.1,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,2-Methylheptane,592-27-8,ND,,0.15,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,2-Methylhexane,591-76-4,ND,,0.15,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,2-Methylpentane,107-83-5,0.97,J,0.07,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,3-Methylheptane,589-81-1,ND,,0.14,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,3-Methylhexane,589-34-4,0.39,J,0.03,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,3-Methylpentane,96-14-0,0.66,J,0.16,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Acetylene,74-86-2,1.8,J,0.05,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,alpha-Pinene,80-56-8,ND,,0.05,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Benzene,71-43-2,1.22,J,0.11,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,beta-Pinene,127-91-3,ND,,0.05,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,cis-2-Butene,590-18-1,ND,,0.12,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,cis-2-Pentene,627-20-3,ND,,0.13,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Cyclohexane,110-82-7,0.19,J,0.11,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Cyclopentane,287-92-3,ND,,0.11,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Ethane,74-84-0,13.4, ,0.12,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Ethylbenzene,100-41-4,0.25,J,0.14,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Ethylene,74-85-1,2.47, ,0.1,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Isobutane,75-28-5,3.52, ,0.17,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Isopentane,78-78-4,2.63, ,0.19,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Isoprene,78-79-5,ND,,0.16,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Isopropylbenzene,98-82-8,ND,,0.18,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,m/p-Xylenes,108-38-3/106-42-3,0.37,J,0.15,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,m-Diethylbenzene,141-93-5,ND,,0.19,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Methylcyclohexane,108-87-2,0.31,J,0.14,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Methylcyclopentane,96-37-7,0.54,J,0.13,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,m-Ethyltoluene,620-14-4,ND,,0.12,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,n-Butane,106-97-8,6.19, ,0.12,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,n-Decane,124-18-5,ND,,0.11,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,n-Dodecane,112-40-3,ND,,0.07,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,n-Heptane,142-82-5,0.5,J,0.14,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,n-Hexane,110-54-3,0.79,J,0.12,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,n-Octane,111-65-9,0.27,J,0.17,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Nonane,111-84-2,ND,,0.1,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,n-Pentane,109-66-0,1.89,J,0.1,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,n-Propylbenzene,103-65-1,ND,,0.1,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,n-Undecane,1120-21-4,ND,,0.17,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,o-Ethyltoluene,611-14-3,ND,,0.19,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,o-Xylene,95-47-6,ND,,0.09,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,p-Diethylbenzene,105-05-5,ND,,0.15,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,p-Ethyltoluene,622-96-8,ND,,0.18,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Propane,74-98-6,7.31, ,0.12,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Propylene,115-07-1,0.52,J,0.1,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Styrene,100-42-5,ND,,0.07,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,TNMHC  (ppbC),NA,79.2, ,38.66,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Toluene,108-88-3,1.86,J,0.18,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,Total PAMS  (ppbC),NA,48.5, ,1.93,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,trans-2-Butene,624-64-6,ND,,0.1,ppbC
DECO,2018-006,180213-106576,2/1/2018,2/14/2018,trans-2-Pentene,646-04-8,ND,,0.11,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,"1,2,3-Trimethylbenzene",526-73-8,ND,,0.06,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,"1,2,4-Trimethylbenzene",95-63-6,ND,,0.16,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,"1,3,5-Trimethylbenzene",108-67-8,ND,,0.17,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,"1,3-Butadiene",106-99-0,ND,,0.07,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,1-Butene,106-98-6,ND,,0.11,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,1-Hexene,592-41-6,ND,,0.17,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,1-Pentene,109-67-1,ND,,0.12,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,"2,2,4-Trimethylpentane",540-84-1,0.51,J,0.17,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,"2,2-Dimethylbutane",75-83-2,ND,,0.15,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,"2,3,4-Trimethylpentane",565-75-3,ND,,0.1,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,"2,3-Dimethylbutane",79-29-8,0.36,J,0.19,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,"2,3-Dimethylpentane",565-59-3,0.26,J,0.13,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,"2,4-Dimethylpentane",108-08-7,0.26,J,0.09,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,2-Methylheptane,592-27-8,0.3,J,0.15,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,2-Methylhexane,591-76-4,ND,,0.14,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,2-Methylpentane,107-83-5,1.92, ,0.07,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,3-Methylheptane,589-81-1,0.26,J,0.14,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,3-Methylhexane,589-34-4,0.83,J,0.03,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,3-Methylpentane,96-14-0,1.34,J,0.16,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,Acetylene,74-86-2,3.47, ,0.05,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,alpha-Pinene,80-56-8,ND,,0.05,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,Benzene,71-43-2,1.56,J,0.11,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,beta-Pinene,127-91-3,ND,,0.04,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,cis-2-Butene,590-18-1,ND,,0.12,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,cis-2-Pentene,627-20-3,ND,,0.13,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,Cyclohexane,110-82-7,0.64,J,0.11,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,Cyclopentane,287-92-3,0.57,J,0.11,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,Ethane,74-84-0,37.9, ,0.11,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,Ethylbenzene,100-41-4,0.24,J,0.14,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,Ethylene,74-85-1,4.39, ,0.1,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,Isobutane,75-28-5,5.86, ,0.16,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,Isopentane,78-78-4,6.01, ,0.18,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,Isoprene,78-79-5,ND,,0.15,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,Isopropylbenzene,98-82-8,ND,,0.18,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,m/p-Xylenes,108-38-3/106-42-3,0.89,J,0.15,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,m-Diethylbenzene,141-93-5,ND,,0.18,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,Methylcyclohexane,108-87-2,1.02,J,0.14,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,Methylcyclopentane,96-37-7,1.17,J,0.13,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,m-Ethyltoluene,620-14-4,0.24,J,0.12,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,n-Butane,106-97-8,15.5, ,0.11,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,n-Decane,124-18-5,ND,,0.1,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,n-Dodecane,112-40-3,ND,,0.07,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,n-Heptane,142-82-5,1.15,J,0.14,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,n-Hexane,110-54-3,2.11, ,0.12,ppbC
DECO,2018-007,180213-106577,2/7/2018,2/14/2018,n-Octane,111-65-9,0.47,J,0.16,ppbC
